Poly_LabelName,Poly_Longitude,Poly_Latitude,Poly_Time,Poly_EsuPingStart,Poly_Bottom,Poly_depth,Poly_limit_up,Poly_limit_down,Poly_sum_Sa_70,Poly_sum_Sa_200,Poly_mean_Sv_70,Poly_mean_Sv_200,Poly_pixel_number,FAROFA,MPA,Wind_exposure,distanceToCoast,distanceToShelfbreak,SaFish_70,SaNoFish_70,SaFish_200,SaNoFish_200,Sediment,nb_Sediment,Depth_std,Rugosity,Slope,ESU25row,Poly_sum_logSa_70,Poly_sum_logSa_200,logSaFish_70,logSaFish_200,logSaNoFish_70,logSaNoFish_200,SaFish_Other_70,SaFish_Other_200,logSaFish_Other_70,logSaFish_Other_200,distanceToShelfbreak_factor
bottom.small.fish.school,-32.45881637,-3.860612046,736957.7073,285635,28.156,27.5,24.79906855,30.84308745,1472376.247,1093695.447,-43.17887383,-35.70386562,34027,1,in,leeward,0.542757784,-2.130745963,0,98.97587,0,16.77101,NA,NA,0.197365246,0.632381489,0.02654371,8254,6.16801909756932,6.03889680126073,0,0,1.99989519209593,1.24971211125841,1472376.247,1093695.447,6.16801909756932,6.03889680126073,eu_lower
bottom.small.fish.school,-32.46082731,-3.856748285,736957.7095,286910,36.133,36.5,31.35607526,43.25301788,1487475.502,1101489.008,-43.18549773,-35.71046926,34550,1,in,leeward,1.007882894,-1.660486693,32.20924,86.10539,8.034854,19.70414,NA,NA,0.305898109,0.643465237,0.031171278,8275,6.17245011380742,6.04198056186795,1.52125893679733,0.955921138910601,1.94004502957519,1.31605719566857,1487443.29276,1101480.973146,6.17244070966111,6.04197739388145,eu_lower
bottom.small.fish.school,-32.45396275,-3.843435662,736957.7317,293340,56.131,54.7,50.19415554,58.42979455,1490399.67,1102646.267,-43.18658994,-35.71156231,34637,1,in,leeward,1.017626245,1.074665447,17.68354,190.6068,9.375427,69.50503,NA,NA,0.296905071,0.604608557,0.038677126,8462,6.17330303712251,6.04243660537279,1.27145916615584,1.01600597911211,2.28241091784311,1.84822010171932,1490381.98646,1102636.891573,6.17329788420655,6.04243291270185,meso_upper
bottom.small.fish.school,-32.45151716,-3.844625327,736957.7334,294314,49.64159996,48.1,40.18703963,55.21982265,1519408.95,1117100.496,-43.20047062,-35.725353,35762,1,in,leeward,0.718763479,-1.371447519,9.372154,303.6373,16.97796,50.81498,NA,NA,0.315396202,0.620665204,0.003618329,8475,6.18167496609614,6.04809263341125,1.0158689563092,1.2547404098106,2.48378307757,1.71445533485772,1519399.577846,1117083.51804,6.18167228723562,6.0480860328558,meso_upper
bottom.small.fish.school,-32.4497926,-3.845603401,736957.7346,295032,43.816,43.3,39.20256545,47.60005178,1522896.011,1118238.462,-43.20262689,-35.72748774,35940,1,in,leeward,0.50041441,-1.590598383,0.135808,189.6483,0.001236981,34.31582,NA,NA,0.27546706,0.609902053,0.033995264,8484,6.18267053428367,6.0485348141849,0.0553049232870595,0.000536882034496783,2.28023293704787,1.54796929461213,1522895.875192,1118238.46076302,6.18267049555442,6.04853481370449,meso_upper
bottom.small.fish.school,-32.44510653,-3.840618237,736957.7452,301320,40.03,36.9,32.31501649,40.21318249,1555085.262,1132959.497,-43.20845354,-35.73342688,36435,1,in,leeward,0.815889296,-1.680462848,202.7473,248.0964,85.96778,68.70975,NA,NA,0.367347964,0.664070672,0.006042516,8574,6.19175448472718,6.05421476755625,2.3090918623059,1.93935838411335,2.39636745105544,1.84329352522948,1554882.5147,1132873.52922,6.19169785907481,6.0541818125246,meso_upper
bottom.small.fish.school,-32.365423,-3.901050475,736959.5128,349182,60.983,57.9,44.08723869,71.63918922,1946831.847,1500211.252,-43.15272443,-35.74093133,43700,1,in,windward,5.839886611,0.521332468,1141.919,139.0301,915.7075,77.37918,NA,NA,1.538761835,0.718583001,0.087010196,10939,6.28932866505786,6.17615270795648,3.05801545253041,2.96223078452483,2.14622139895565,1.8942007155935,1945689.928,1499295.5445,6.28907385395669,6.17588754005492,meso_middle
bottom.small.fish.school,-32.38525856,-3.892970502,736959.5438,365511,42.272,41.7,37.11235634,45.51103477,2006431.459,1546019.939,-41.24884601,-35.75497556,45163,1,in,windward,3.770379974,-1.559714989,14.73989,83.92785,11.71161,25.32916,NA,NA,0.411940697,0.681889273,0.031296948,11097,6.30242454499321,6.18921537162019,1.19700169291759,1.10420055998235,1.92905012979588,1.420437003687,2006416.71911,1546008.22739,6.30242135451631,6.18921208168619,meso_upper
bottom.small.fish.school,-32.38780682,-3.892000936,736959.5455,366438,45.27862297,44.7,38.98022637,49.37028114,2020448.801,1560224.911,-41.25602728,-35.76219845,45916,1,in,windward,3.539099969,-1.791495058,43.60097,121.9358,39.78435,49.69175,NA,NA,0.711908348,0.680643242,0.010808612,11111,6.30544806466754,6.19318748604508,1.64934430402753,1.61049354513619,2.08967837172626,1.70493728436257,2020405.20003,1560185.12665,6.30543869256387,6.19317641178728,meso_upper
bottom.small.fish.school,-32.39680319,-3.890610606,736959.5552,371515,47.97,46.7,41.84080434,50.77692234,2049725.211,1584074.886,-41.26655823,-35.77263787,47043,1,in,windward,3.052893529,-2.571121962,58.76476,252.5222,41.76648,100.2126,NA,NA,0.521153663,0.7198039,0.057111483,11166,6.31169585471779,6.19977598286057,1.77644517982823,1.63110350605557,2.40401599489365,2.00523458137577,2049666.44624,1584033.11952,6.31168340350518,6.19976453189973,meso_upper
